"NOC","Year","Season","Medal","Count"
"ITA",2008,"Summer","Silver",14
"ESP",2008,"Summer","Silver",47
"RUS",2008,"Summer","Silver",46
"USA",2008,"Summer","Silver",110
"HUN",2008,"Summer","Silver",8
"AUS",2008,"Summer","Silver",42
"CAN",2008,"Summer","Silver",13
"URS",2008,"Summer","Silver",0
"JPN",2008,"Summer","Silver",15
"SUI",2008,"Summer","Silver",1
"GDR",2008,"Summer","Silver",0
"SWE",2008,"Summer","Silver",5
"GBR",2008,"Summer","Silver",25
"ROU",2008,"Summer","Silver",1
"GER",2008,"Summer","Silver",16
"POL",2008,"Summer","Silver",13
"TCH",2008,"Summer","Silver",0
"FRG",2008,"Summer","Silver",0
"KOR",2008,"Summer","Silver",11
"CHN",2008,"Summer","Silver",53
"DEN",2012,"Summer","Silver",5
"FIN",2012,"Summer","Silver",1
"NOR",2012,"Summer","Silver",1
"NED",2012,"Summer","Silver",29
"FRA",2012,"Summer","Silver",30
"ITA",2012,"Summer","Silver",22
"ESP",2012,"Summer","Silver",33
"RUS",2012,"Summer","Silver",39
"USA",2012,"Summer","Silver",57
"HUN",2012,"Summer","Silver",8
"AUS",2012,"Summer","Silver",37
"CAN",2012,"Summer","Silver",21
"URS",2012,"Summer","Silver",0
"JPN",2012,"Summer","Silver",44
"SUI",2012,"Summer","Silver",2
"GDR",2012,"Summer","Silver",0
"SWE",2012,"Summer","Silver",17
"GBR",2012,"Summer","Silver",30
"ROU",2012,"Summer","Silver",8
"GER",2012,"Summer","Silver",27
"POL",2012,"Summer","Silver",2
"TCH",2012,"Summer","Silver",0
"FRG",2012,"Summer","Silver",0
"KOR",2012,"Summer","Silver",13
"CHN",2012,"Summer","Silver",40
"DEN",2016,"Summer","Silver",10
"FIN",2016,"Summer","Silver",0
"NOR",2016,"Summer","Silver",0
"NED",2016,"Summer","Silver",25
"FRA",2016,"Summer","Silver",55
"ITA",2016,"Summer","Silver",40
"ESP",2016,"Summer","Silver",19
"RUS",2016,"Summer","Silver",28
"USA",2016,"Summer","Silver",54
"HUN",2016,"Summer","Silver",3
"AUS",2016,"Summer","Silver",34
"CAN",2016,"Summer","Silver",4
"URS",2016,"Summer","Silver",0
"JPN",2016,"Summer","Silver",13
"SUI",2016,"Summer","Silver",3
"GDR",2016,"Summer","Silver",0
"SWE",2016,"Summer","Silver",23
"GBR",2016,"Summer","Silver",55
"ROU",2016,"Summer","Silver",2
"GER",2016,"Summer","Silver",43
"POL",2016,"Summer","Silver",3
"TCH",2016,"Summer","Silver",0
"FRG",2016,"Summer","Silver",0
"KOR",2016,"Summer","Silver",3
"CHN",2016,"Summer","Silver",30
"DEN",1896,"Summer","Bronze",3
"FIN",1896,"Summer","Bronze",0
"NOR",1896,"Summer","Bronze",0
"NED",1896,"Summer","Bronze",0
"FRA",1896,"Summer","Bronze",2
"ITA",1896,"Summer","Bronze",0
"ESP",1896,"Summer","Bronze",0
"RUS",1896,"Summer","Bronze",0
"USA",1896,"Summer","Bronze",2
"HUN",1896,"Summer","Bronze",3
"AUS",1896,"Summer","Bronze",1
"CAN",1896,"Summer","Bronze",0
"URS",1896,"Summer","Bronze",0
"JPN",1896,"Summer","Bronze",0
"SUI",1896,"Summer","Bronze",0
"GDR",1896,"Summer","Bronze",0
"SWE",1896,"Summer","Bronze",0
"GBR",1896,"Summer","Bronze",3
"ROU",1896,"Summer","Bronze",0
"GER",1896,"Summer","Bronze",2
"POL",1896,"Summer","Bronze",0
"TCH",1896,"Summer","Bronze",0
"FRG",1896,"Summer","Bronze",0
"KOR",1896,"Summer","Bronze",0
"CHN",1896,"Summer","Bronze",0
"DEN",1900,"Summer","Bronze",2
"FIN",1900,"Summer","Bronze",0
"NOR",1900,"Summer","Bronze",3
"NED",1900,"Summer","Bronze",16
"FRA",1900,"Summer","Bronze",82
"ITA",1900,"Summer","Bronze",0
"ESP",1900,"Summer","Bronze",0
"RUS",1900,"Summer","Bronze",0
"USA",1900,"Summer","Bronze",17
"HUN",1900,"Summer","Bronze",2
"AUS",1900,"Summer","Bronze",3
"CAN",1900,"Summer","Bronze",1
"URS",1900,"Summer","Bronze",0
"JPN",1900,"Summer","Bronze",0
"SUI",1900,"Summer","Bronze",1
"GDR",1900,"Summer","Bronze",0
"SWE",1900,"Summer","Bronze",1
"GBR",1900,"Summer","Bronze",15
"ROU",1900,"Summer","Bronze",0
"GER",1900,"Summer","Bronze",11
"POL",1900,"Summer","Bronze",0
"TCH",1900,"Summer","Bronze",0
"FRG",1900,"Summer","Bronze",0
"KOR",1900,"Summer","Bronze",0
"CHN",1900,"Summer","Bronze",0
"DEN",1904,"Summer","Bronze",0
"FIN",1904,"Summer","Bronze",0
"NOR",1904,"Summer","Bronze",0
"NED",1904,"Summer","Bronze",0
"FRA",1904,"Summer","Bronze",0
"ITA",1904,"Summer","Bronze",0
"ESP",1904,"Summer","Bronze",0
"RUS",1904,"Summer","Bronze",0
"USA",1904,"Summer","Bronze",125
"HUN",1904,"Summer","Bronze",1
"AUS",1904,"Summer","Bronze",1
"CAN",1904,"Summer","Bronze",12
"URS",1904,"Summer","Bronze",0
"JPN",1904,"Summer","Bronze",0
"SUI",1904,"Summer","Bronze",2
"GDR",1904,"Summer","Bronze",0
"SWE",1904,"Summer","Bronze",0
"GBR",1904,"Summer","Bronze",0
"ROU",1904,"Summer","Bronze",0
"GER",1904,"Summer","Bronze",7
"POL",1904,"Summer","Bronze",0
"TCH",1904,"Summer","Bronze",0
"FRG",1904,"Summer","Bronze",0
"KOR",1904,"Summer","Bronze",0
"CHN",1904,"Summer","Bronze",0
"DEN",1908,"Summer","Bronze",3
"FIN",1908,"Summer","Bronze",28
"NOR",1908,"Summer","Bronze",3
"NED",1908,"Summer","Bronze",16
"FRA",1908,"Summer","Bronze",23
"ITA",1908,"Summer","Bronze",0
"ESP",1908,"Summer","Bronze",0
"RUS",1908,"Summer","Bronze",0
"USA",1908,"Summer","Bronze",15
"HUN",1908,"Summer","Bronze",6
"AUS",1908,"Summer","Bronze",0
"CAN",1908,"Summer","Bronze",30
"URS",1908,"Summer","Bronze",0
"JPN",1908,"Summer","Bronze",0
"SUI",1908,"Summer","Bronze",0
"GDR",1908,"Summer","Bronze",0
"SWE",1908,"Summer","Bronze",18
"GBR",1908,"Summer","Bronze",90
"ROU",1908,"Summer","Bronze",0
"GER",1908,"Summer","Bronze",6
"POL",1908,"Summer","Bronze",0
"TCH",1908,"Summer","Bronze",0
"FRG",1908,"Summer","Bronze",0
"KOR",1908,"Summer","Bronze",0
"CHN",1908,"Summer","Bronze",0
"DEN",1912,"Summer","Bronze",33
"FIN",1912,"Summer","Bronze",22
"NOR",1912,"Summer","Bronze",34
"NED",1912,"Summer","Bronze",26
"FRA",1912,"Summer","Bronze",5
"ITA",1912,"Summer","Bronze",2
"ESP",1912,"Summer","Bronze",0
"RUS",1912,"Summer","Bronze",9
"USA",1912,"Summer","Bronze",36
"HUN",1912,"Summer","Bronze",3
"AUS",1912,"Summer","Bronze",0
"CAN",1912,"Summer","Bronze",3
"URS",1912,"Summer","Bronze",0
"JPN",1912,"Summer","Bronze",0
"SUI",1912,"Summer","Bronze",0
"GDR",1912,"Summer","Bronze",0
"SWE",1912,"Summer","Bronze",25
"GBR",1912,"Summer","Bronze",59
"ROU",1912,"Summer","Bronze",0
"GER",1912,"Summer","Bronze",23
"POL",1912,"Summer","Bronze",0
"TCH",1912,"Summer","Bronze",0
"FRG",1912,"Summer","Bronze",0
"KOR",1912,"Summer","Bronze",0
"CHN",1912,"Summer","Bronze",0
"DEN",1916,"Summer","Bronze",0
"FIN",1916,"Summer","Bronze",0
"NOR",1916,"Summer","Bronze",0
"NED",1916,"Summer","Bronze",0
"FRA",1916,"Summer","Bronze",0
"ITA",1916,"Summer","Bronze",0
"ESP",1916,"Summer","Bronze",0
"RUS",1916,"Summer","Bronze",0
"USA",1916,"Summer","Bronze",0
"HUN",1916,"Summer","Bronze",0
"AUS",1916,"Summer","Bronze",0
"CAN",1916,"Summer","Bronze",0
"URS",1916,"Summer","Bronze",0
"JPN",1916,"Summer","Bronze",0
"SUI",1916,"Summer","Bronze",0
"GDR",1916,"Summer","Bronze",0
"SWE",1916,"Summer","Bronze",0
"GBR",1916,"Summer","Bronze",0
"ROU",1916,"Summer","Bronze",0
"GER",1916,"Summer","Bronze",0
"POL",1916,"Summer","Bronze",0
"TCH",1916,"Summer","Bronze",0
"FRG",1916,"Summer","Bronze",0
"KOR",1916,"Summer","Bronze",0
"CHN",1916,"Summer","Bronze",0
"DEN",1920,"Summer","Bronze",1
"FIN",1920,"Summer","Bronze",17
"NOR",1920,"Summer","Bronze",27
"NED",1920,"Summer","Bronze",25
"FRA",1920,"Summer","Bronze",57
"ITA",1920,"Summer","Bronze",8
"ESP",1920,"Summer","Bronze",0
"RUS",1920,"Summer","Bronze",0
"USA",1920,"Summer","Bronze",38
"HUN",1920,"Summer","Bronze",0
"AUS",1920,"Summer","Bronze",1
"CAN",1920,"Summer","Bronze",3
"URS",1920,"Summer","Bronze",0
"JPN",1920,"Summer","Bronze",0
"SUI",1920,"Summer","Bronze",21
"GDR",1920,"Summer","Bronze",0
"SWE",1920,"Summer","Bronze",64
"GBR",1920,"Summer","Bronze",17
"ROU",1920,"Summer","Bronze",0
"GER",1920,"Summer","Bronze",0
"POL",1920,"Summer","Bronze",0
"TCH",1920,"Summer","Bronze",10
"FRG",1920,"Summer","Bronze",0
"KOR",1920,"Summer","Bronze",0
"CHN",1920,"Summer","Bronze",0
"DEN",1924,"Summer","Bronze",3
"FIN",1924,"Summer","Bronze",15
"NOR",1924,"Summer","Bronze",3
"NED",1924,"Summer","Bronze",18
"FRA",1924,"Summer","Bronze",22
"ITA",1924,"Summer","Bronze",21
"ESP",1924,"Summer","Bronze",0
"RUS",1924,"Summer","Bronze",0
"USA",1924,"Summer","Bronze",49
"HUN",1924,"Summer","Bronze",8
"AUS",1924,"Summer","Bronze",2
"CAN",1924,"Summer","Bronze",1
"URS",1924,"Summer","Bronze",0
"JPN",1924,"Summer","Bronze",1
"SUI",1924,"Summer","Bronze",21
"GDR",1924,"Summer","Bronze",0
"SWE",1924,"Summer","Bronze",43
"GBR",1924,"Summer","Bronze",19
"ROU",1924,"Summer","Bronze",16
"GER",1924,"Summer","Bronze",0
"POL",1924,"Summer","Bronze",1
"TCH",1924,"Summer","Bronze",5
"FRG",1924,"Summer","Bronze",0
"KOR",1924,"Summer","Bronze",0
"CHN",1924,"Summer","Bronze",0
"DEN",1928,"Summer","Bronze",4
"FIN",1928,"Summer","Bronze",9
"NOR",1928,"Summer","Bronze",1
"NED",1928,"Summer","Bronze",8
"FRA",1928,"Summer","Bronze",14
"ITA",1928,"Summer","Bronze",26
"ESP",1928,"Summer","Bronze",0
"RUS",1928,"Summer","Bronze",0
"USA",1928,"Summer","Bronze",17
"HUN",1928,"Summer","Bronze",0
"AUS",1928,"Summer","Bronze",1
"CAN",1928,"Summer","Bronze",21
"URS",1928,"Summer","Bronze",0
"JPN",1928,"Summer","Bronze",1
"SUI",1928,"Summer","Bronze",4
"GDR",1928,"Summer","Bronze",0
"SWE",1928,"Summer","Bronze",22
"GBR",1928,"Summer","Bronze",24
"ROU",1928,"Summer","Bronze",0
"GER",1928,"Summer","Bronze",41
"POL",1928,"Summer","Bronze",15
"TCH",1928,"Summer","Bronze",2
"FRG",1928,"Summer","Bronze",0
"KOR",1928,"Summer","Bronze",0
"CHN",1928,"Summer","Bronze",0
"DEN",1932,"Summer","Bronze",4
"FIN",1932,"Summer","Bronze",16
"NOR",1932,"Summer","Bronze",0
"NED",1932,"Summer","Bronze",1
"FRA",1932,"Summer","Bronze",6
"ITA",1932,"Summer","Bronze",18
"ESP",1932,"Summer","Bronze",1
"RUS",1932,"Summer","Bronze",0
"USA",1932,"Summer","Bronze",61
"HUN",1932,"Summer","Bronze",8
"AUS",1932,"Summer","Bronze",1
"CAN",1932,"Summer","Bronze",24
"URS",1932,"Summer","Bronze",0
"JPN",1932,"Summer","Bronze",4
"SUI",1932,"Summer","Bronze",0
"GDR",1932,"Summer","Bronze",0
"SWE",1932,"Summer","Bronze",12
"GBR",1932,"Summer","Bronze",14
"ROU",1932,"Summer","Bronze",0
"GER",1932,"Summer","Bronze",7
"POL",1932,"Summer","Bronze",14
"TCH",1932,"Summer","Bronze",2
"FRG",1932,"Summer","Bronze",0
"KOR",1932,"Summer","Bronze",0
"CHN",1932,"Summer","Bronze",0
"DEN",1936,"Summer","Bronze",3
"FIN",1936,"Summer","Bronze",13
"NOR",1936,"Summer","Bronze",15
"NED",1936,"Summer","Bronze",21
"FRA",1936,"Summer","Bronze",18
"ITA",1936,"Summer","Bronze",5
"ESP",1936,"Summer","Bronze",0
"RUS",1936,"Summer","Bronze",0
"USA",1936,"Summer","Bronze",16
"HUN",1936,"Summer","Bronze",15
"AUS",1936,"Summer","Bronze",1
"CAN",1936,"Summer","Bronze",9
"URS",1936,"Summer","Bronze",0
"JPN",1936,"Summer","Bronze",10
"SUI",1936,"Summer","Bronze",24
"GDR",1936,"Summer","Bronze",0
"SWE",1936,"Summer","Bronze",17
"GBR",1936,"Summer","Bronze",8
"ROU",1936,"Summer","Bronze",0
"GER",1936,"Summer","Bronze",61
"POL",1936,"Summer","Bronze",6
"TCH",1936,"Summer","Bronze",1
"FRG",1936,"Summer","Bronze",0
"KOR",1936,"Summer","Bronze",0
"CHN",1936,"Summer","Bronze",0
"DEN",1940,"Summer","Bronze",0
"FIN",1940,"Summer","Bronze",0
"NOR",1940,"Summer","Bronze",0
"NED",1940,"Summer","Bronze",0
"FRA",1940,"Summer","Bronze",0
"ITA",1940,"Summer","Bronze",0
"ESP",1940,"Summer","Bronze",0
"RUS",1940,"Summer","Bronze",0
"USA",1940,"Summer","Bronze",0
"HUN",1940,"Summer","Bronze",0
"AUS",1940,"Summer","Bronze",0
"CAN",1940,"Summer","Bronze",0
"URS",1940,"Summer","Bronze",0
"JPN",1940,"Summer","Bronze",0
"SUI",1940,"Summer","Bronze",0
"GDR",1940,"Summer","Bronze",0
"SWE",1940,"Summer","Bronze",0
"GBR",1940,"Summer","Bronze",0
"ROU",1940,"Summer","Bronze",0
"GER",1940,"Summer","Bronze",0
"POL",1940,"Summer","Bronze",0
"TCH",1940,"Summer","Bronze",0
"FRG",1940,"Summer","Bronze",0
"KOR",1940,"Summer","Bronze",0
"CHN",1940,"Summer","Bronze",0
"DEN",1944,"Summer","Bronze",0
"FIN",1944,"Summer","Bronze",0
"NOR",1944,"Summer","Bronze",0
"NED",1944,"Summer","Bronze",0
"FRA",1944,"Summer","Bronze",0
"ITA",1944,"Summer","Bronze",0
"ESP",1944,"Summer","Bronze",0
"RUS",1944,"Summer","Bronze",0
"USA",1944,"Summer","Bronze",0
"HUN",1944,"Summer","Bronze",0
"AUS",1944,"Summer","Bronze",0
"CAN",1944,"Summer","Bronze",0
"URS",1944,"Summer","Bronze",0
"JPN",1944,"Summer","Bronze",0
"SUI",1944,"Summer","Bronze",0
"GDR",1944,"Summer","Bronze",0
"SWE",1944,"Summer","Bronze",0
"GBR",1944,"Summer","Bronze",0
"ROU",1944,"Summer","Bronze",0
"GER",1944,"Summer","Bronze",0
"POL",1944,"Summer","Bronze",0
"TCH",1944,"Summer","Bronze",0
"FRG",1944,"Summer","Bronze",0
"KOR",1944,"Summer","Bronze",0
"CHN",1944,"Summer","Bronze",0
"DEN",1948,"Summer","Bronze",27
"FIN",1948,"Summer","Bronze",8
"NOR",1948,"Summer","Bronze",11
"NED",1948,"Summer","Bronze",32
"FRA",1948,"Summer","Bronze",24
"ITA",1948,"Summer","Bronze",14
"ESP",1948,"Summer","Bronze",0
"RUS",1948,"Summer","Bronze",0
"USA",1948,"Summer","Bronze",35
"HUN",1948,"Summer","Bronze",22
"AUS",1948,"Summer","Bronze",5
"CAN",1948,"Summer","Bronze",5
"URS",1948,"Summer","Bronze",0
"JPN",1948,"Summer","Bronze",0
"SUI",1948,"Summer","Bronze",6
"GDR",1948,"Summer","Bronze",0
"SWE",1948,"Summer","Bronze",30
"GBR",1948,"Summer","Bronze",12
"ROU",1948,"Summer","Bronze",0
"GER",1948,"Summer","Bronze",0
"POL",1948,"Summer","Bronze",1
"TCH",1948,"Summer","Bronze",3
"FRG",1948,"Summer","Bronze",0
"KOR",1948,"Summer","Bronze",2
"CHN",1948,"Summer","Bronze",0
"DEN",1952,"Summer","Bronze",5
"FIN",1952,"Summer","Bronze",29
"NOR",1952,"Summer","Bronze",0
"NED",1952,"Summer","Bronze",0
"FRA",1952,"Summer","Bronze",17
"ITA",1952,"Summer","Bronze",15
"ESP",1952,"Summer","Bronze",0
"RUS",1952,"Summer","Bronze",0
"USA",1952,"Summer","Bronze",28
"HUN",1952,"Summer","Bronze",32
"AUS",1952,"Summer","Bronze",11
"CAN",1952,"Summer","Bronze",0
"URS",1952,"Summer","Bronze",19
"JPN",1952,"Summer","Bronze",2
"SUI",1952,"Summer","Bronze",12
"GDR",1952,"Summer","Bronze",0
"SWE",1952,"Summer","Bronze",23
"GBR",1952,"Summer","Bronze",26
"ROU",1952,"Summer","Bronze",2
"GER",1952,"Summer","Bronze",26
"POL",1952,"Summer","Bronze",1
"TCH",1952,"Summer","Bronze",10
"FRG",1952,"Summer","Bronze",0
"KOR",1952,"Summer","Bronze",2
"CHN",1952,"Summer","Bronze",0
"DEN",1956,"Summer","Bronze",1
"FIN",1956,"Summer","Bronze",22
"NOR",1956,"Summer","Bronze",2
"NED",1956,"Summer","Bronze",0
"FRA",1956,"Summer","Bronze",13
"ITA",1956,"Summer","Bronze",10
"ESP",1956,"Summer","Bronze",0
"RUS",1956,"Summer","Bronze",0
"USA",1956,"Summer","Bronze",20
"HUN",1956,"Summer","Bronze",14
"AUS",1956,"Summer","Bronze",26
"CAN",1956,"Summer","Bronze",5
"URS",1956,"Summer","Bronze",55
"JPN",1956,"Summer","Bronze",5
"SUI",1956,"Summer","Bronze",3
"GDR",1956,"Summer","Bronze",0
"SWE",1956,"Summer","Bronze",6
"GBR",1956,"Summer","Bronze",22
"ROU",1956,"Summer","Bronze",10
"GER",1956,"Summer","Bronze",23
"POL",1956,"Summer","Bronze",9
"TCH",1956,"Summer","Bronze",1
"FRG",1956,"Summer","Bronze",0
"KOR",1956,"Summer","Bronze",1
"CHN",1956,"Summer","Bronze",0
"DEN",1960,"Summer","Bronze",4
"FIN",1960,"Summer","Bronze",4
"NOR",1960,"Summer","Bronze",0
"NED",1960,"Summer","Bronze",2
"FRA",1960,"Summer","Bronze",6
"ITA",1960,"Summer","Bronze",34
"ESP",1960,"Summer","Bronze",14
"RUS",1960,"Summer","Bronze",0
"USA",1960,"Summer","Bronze",21
"HUN",1960,"Summer","Bronze",37
"AUS",1960,"Summer","Bronze",11
"CAN",1960,"Summer","Bronze",0
"URS",1960,"Summer","Bronze",45
"JPN",1960,"Summer","Bronze",12
"SUI",1960,"Summer","Bronze",6
"GDR",1960,"Summer","Bronze",0
"SWE",1960,"Summer","Bronze",3
"GBR",1960,"Summer","Bronze",15
"ROU",1960,"Summer","Bronze",11
"GER",1960,"Summer","Bronze",22
"POL",1960,"Summer","Bronze",15
"TCH",1960,"Summer","Bronze",11
"FRG",1960,"Summer","Bronze",0
"KOR",1960,"Summer","Bronze",0
"CHN",1960,"Summer","Bronze",0
"DEN",1964,"Summer","Bronze",4
"FIN",1964,"Summer","Bronze",2
"NOR",1964,"Summer","Bronze",0
"NED",1964,"Summer","Bronze",16
"FRA",1964,"Summer","Bronze",17
"ITA",1964,"Summer","Bronze",9
"ESP",1964,"Summer","Bronze",0
"RUS",1964,"Summer","Bronze",0
"USA",1964,"Summer","Bronze",37
"HUN",1964,"Summer","Bronze",7
"AUS",1964,"Summer","Bronze",30
"CAN",1964,"Summer","Bronze",1
"URS",1964,"Summer","Bronze",51
"JPN",1964,"Summer","Bronze",25
"SUI",1964,"Summer","Bronze",1
"GDR",1964,"Summer","Bronze",0
"SWE",1964,"Summer","Bronze",8
"GBR",1964,"Summer","Bronze",5
"ROU",1964,"Summer","Bronze",10
"GER",1964,"Summer","Bronze",50
"POL",1964,"Summer","Bronze",23
"TCH",1964,"Summer","Bronze",12
"FRG",1964,"Summer","Bronze",0
"KOR",1964,"Summer","Bronze",1
"CHN",1964,"Summer","Bronze",0
"DEN",1968,"Summer","Bronze",6
"FIN",1968,"Summer","Bronze",1
"NOR",1968,"Summer","Bronze",0
"NED",1968,"Summer","Bronze",1
"FRA",1968,"Summer","Bronze",10
"ITA",1968,"Summer","Bronze",20
"ESP",1968,"Summer","Bronze",0
"RUS",1968,"Summer","Bronze",0
"USA",1968,"Summer","Bronze",35
"HUN",1968,"Summer","Bronze",29
"AUS",1968,"Summer","Bronze",11
"CAN",1968,"Summer","Bronze",4
"URS",1968,"Summer","Bronze",64
"JPN",1968,"Summer","Bronze",22
"SUI",1968,"Summer","Bronze",10
"GDR",1968,"Summer","Bronze",19
"SWE",1968,"Summer","Bronze",1
"GBR",1968,"Summer","Bronze",5
"ROU",1968,"Summer","Bronze",9
"GER",1968,"Summer","Bronze",0
"POL",1968,"Summer","Bronze",30
"TCH",1968,"Summer","Bronze",15
"FRG",1968,"Summer","Bronze",18
"KOR",1968,"Summer","Bronze",1
"CHN",1968,"Summer","Bronze",0
"DEN",1972,"Summer","Bronze",0
"FIN",1972,"Summer","Bronze",6
"NOR",1972,"Summer","Bronze",4
"NED",1972,"Summer","Bronze",2
"FRA",1972,"Summer","Bronze",15
"ITA",1972,"Summer","Bronze",13
"ESP",1972,"Summer","Bronze",1
"RUS",1972,"Summer","Bronze",0
"USA",1972,"Summer","Bronze",43
"HUN",1972,"Summer","Bronze",25
"AUS",1972,"Summer","Bronze",2
"CAN",1972,"Summer","Bronze",9
"URS",1972,"Summer","Bronze",60
"JPN",1972,"Summer","Bronze",8
"SUI",1972,"Summer","Bronze",0
"GDR",1972,"Summer","Bronze",57
"SWE",1972,"Summer","Bronze",8
"GBR",1972,"Summer","Bronze",12
"ROU",1972,"Summer","Bronze",27
"GER",1972,"Summer","Bronze",0
"POL",1972,"Summer","Bronze",11
"TCH",1972,"Summer","Bronze",6
"FRG",1972,"Summer","Bronze",39
"KOR",1972,"Summer","Bronze",0
"CHN",1972,"Summer","Bronze",0
"DEN",1976,"Summer","Bronze",5
"FIN",1976,"Summer","Bronze",0
"NOR",1976,"Summer","Bronze",0
"NED",1976,"Summer","Bronze",12
"FRA",1976,"Summer","Bronze",8
"ITA",1976,"Summer","Bronze",4
"ESP",1976,"Summer","Bronze",0
"RUS",1976,"Summer","Bronze",0
"USA",1976,"Summer","Bronze",36
"HUN",1976,"Summer","Bronze",35
"AUS",1976,"Summer","Bronze",8
"CAN",1976,"Summer","Bronze",14
"URS",1976,"Summer","Bronze",77
"JPN",1976,"Summer","Bronze",10
"SUI",1976,"Summer","Bronze",6
"GDR",1976,"Summer","Bronze",42
"SWE",1976,"Summer","Bronze",0
"GBR",1976,"Summer","Bronze",11
"ROU",1976,"Summer","Bronze",23
"GER",1976,"Summer","Bronze",0
"POL",1976,"Summer","Bronze",26
"TCH",1976,"Summer","Bronze",9
"FRG",1976,"Summer","Bronze",32
"KOR",1976,"Summer","Bronze",15
"CHN",1976,"Summer","Bronze",0
"DEN",1980,"Summer","Bronze",2
"FIN",1980,"Summer","Bronze",5
"NOR",1980,"Summer","Bronze",0
"NED",1980,"Summer","Bronze",5
"FRA",1980,"Summer","Bronze",6
"ITA",1980,"Summer","Bronze",8
"ESP",1980,"Summer","Bronze",3
"RUS",1980,"Summer","Bronze",0
"USA",1980,"Summer","Bronze",0
"HUN",1980,"Summer","Bronze",40
"AUS",1980,"Summer","Bronze",5
"CAN",1980,"Summer","Bronze",0
"URS",1980,"Summer","Bronze",126
"JPN",1980,"Summer","Bronze",0
"SUI",1980,"Summer","Bronze",0
"GDR",1980,"Summer","Bronze",61
"SWE",1980,"Summer","Bronze",9
"GBR",1980,"Summer","Bronze",24
"ROU",1980,"Summer","Bronze",46
"GER",1980,"Summer","Bronze",0
"POL",1980,"Summer","Bronze",22
"TCH",1980,"Summer","Bronze",16
"FRG",1980,"Summer","Bronze",0
"KOR",1980,"Summer","Bronze",0
"CHN",1980,"Summer","Bronze",0
"DEN",1984,"Summer","Bronze",10
"FIN",1984,"Summer","Bronze",6
"NOR",1984,"Summer","Bronze",3
"NED",1984,"Summer","Bronze",14
"FRA",1984,"Summer","Bronze",31
"ITA",1984,"Summer","Bronze",28
"ESP",1984,"Summer","Bronze",3
"RUS",1984,"Summer","Bronze",0
"USA",1984,"Summer","Bronze",50
"HUN",1984,"Summer","Bronze",0
"AUS",1984,"Summer","Bronze",31
"CAN",1984,"Summer","Bronze",32
"URS",1984,"Summer","Bronze",0
"JPN",1984,"Summer","Bronze",31
"SUI",1984,"Summer","Bronze",4
"GDR",1984,"Summer","Bronze",0
"SWE",1984,"Summer","Bronze",13
"GBR",1984,"Summer","Bronze",42
"ROU",1984,"Summer","Bronze",35
"GER",1984,"Summer","Bronze",0
"POL",1984,"Summer","Bronze",0
"TCH",1984,"Summer","Bronze",0
"FRG",1984,"Summer","Bronze",53
"KOR",1984,"Summer","Bronze",7
"CHN",1984,"Summer","Bronze",37
"DEN",1988,"Summer","Bronze",3
"FIN",1988,"Summer","Bronze",2
"NOR",1988,"Summer","Bronze",0
"NED",1988,"Summer","Bronze",36
"FRA",1988,"Summer","Bronze",13
"ITA",1988,"Summer","Bronze",8
"ESP",1988,"Summer","Bronze",2
"RUS",1988,"Summer","Bronze",0
"USA",1988,"Summer","Bronze",54
"HUN",1988,"Summer","Bronze",15
"AUS",1988,"Summer","Bronze",11
"CAN",1988,"Summer","Bronze",14
"URS",1988,"Summer","Bronze",99
"JPN",1988,"Summer","Bronze",13
"SUI",1988,"Summer","Bronze",2
"GDR",1988,"Summer","Bronze",48
"SWE",1988,"Summer","Bronze",11
"GBR",1988,"Summer","Bronze",15
"ROU",1988,"Summer","Bronze",16
"GER",1988,"Summer","Bronze",0
"POL",1988,"Summer","Bronze",10
"TCH",1988,"Summer","Bronze",3
"FRG",1988,"Summer","Bronze",46
"KOR",1988,"Summer","Bronze",12
"CHN",1988,"Summer","Bronze",30
"DEN",1992,"Summer","Bronze",9
"FIN",1992,"Summer","Bronze",2
"NOR",1992,"Summer","Bronze",1
"NED",1992,"Summer","Bronze",8
"FRA",1992,"Summer","Bronze",43
"ITA",1992,"Summer","Bronze",14
"ESP",1992,"Summer","Bronze",2
"RUS",1992,"Summer","Bronze",0
"USA",1992,"Summer","Bronze",85
"HUN",1992,"Summer","Bronze",8
"AUS",1992,"Summer","Bronze",16
"CAN",1992,"Summer","Bronze",12
"URS",1992,"Summer","Bronze",0
"JPN",1992,"Summer","Bronze",36
"SUI",1992,"Summer","Bronze",0
"GDR",1992,"Summer","Bronze",0
"SWE",1992,"Summer","Bronze",7
"GBR",1992,"Summer","Bronze",39
"ROU",1992,"Summer","Bronze",14
"GER",1992,"Summer","Bronze",60
"POL",1992,"Summer","Bronze",19
"TCH",1992,"Summer","Bronze",1
"FRG",1992,"Summer","Bronze",0
"KOR",1992,"Summer","Bronze",16
"CHN",1992,"Summer","Bronze",19
"DEN",1996,"Summer","Bronze",1
"FIN",1996,"Summer","Bronze",1
"NOR",1996,"Summer","Bronze",18
"NED",1996,"Summer","Bronze",26
"FRA",1996,"Summer","Bronze",20
"ITA",1996,"Summer","Bronze",28
"ESP",1996,"Summer","Bronze",22
"RUS",1996,"Summer","Bronze",34
"USA",1996,"Summer","Bronze",52
"HUN",1996,"Summer","Bronze",26
"AUS",1996,"Summer","Bronze",84
"CAN",1996,"Summer","Bronze",12
"URS",1996,"Summer","Bronze",0
"JPN",1996,"Summer","Bronze",13
